name;lat;long;country;population
Lucapa;-8.4228;20.7393;Angola;154305
Luena;-11.7900;19.9000;Angola;21115
Malanje;-9.5469;16.3387;Angola;125856
Mavinga;-15.7895;20.3600;Angola;30000
Mbanza Kongo;-6.2667;14.2500;Angola;148000
Menongue;-14.6556;17.6842;Angola;320914
Mocamedes;-15.1953;12.1508;Angola;255000
Muconda;-10.6000;21.3167;Angola;2324
Mungo;-11.6667;16.1667;Angola;113417
Namacunde;-17.3000;15.8500;Angola;142047
Nambuangongo;-8.0483;14.3372;Angola;60883
Ndalatando;-9.3000;14.9167;Angola;161584
Ndjamba;-14.7000;16.0667;Angola;105090
Negage;-7.7667;15.2667;Angola;137559
Nzeto;-7.2290;12.8650;Angola;11633
Ondjiva;-17.0667;15.7333;Angola;121537
Porto Amboim;-10.7183;13.7500;Angola;137000
PortoAlexandre;-15.8032;11.8459;Angola;40000
Quibala;-10.7311;15.0003;Angola;163991
Quilenda;-10.6333;14.3333;Angola;97648
Quilengues;-14.0814;14.0764;Angola;113825
Quipungo;-14.8167;14.5167;Angola;158918
Saurimo;-9.6589;20.3934;Angola;393000
Soio;-6.1333;12.3667;Angola;67491
Songo;-7.3496;14.8500;Angola;10579
Sumbe;-11.2052;13.8417;Angola;279968
Talatona;-8.9167;13.1833;Angola;500000
Tchindjendje;-12.8167;14.9333;Angola;30443
Tchitado;-17.3196;13.9200;Angola;500
Tchitato;-7.3450;20.8198;Angola;195136
Uacu Cungo;-11.3583;15.1194;Angola;90000
Ucuma;-12.8500;15.0667;Angola;55054
Uige;-7.6087;15.0613;Angola;322531
Vila Teixeira da Silva;-12.1958;15.8556;Angola;294494
Xangongo;-16.7467;14.9747;Angola;447
The Valley;18.2167;-63.0500;Anguilla;1000
Saint John's;17.1211;-61.8447;Antigua And Barbuda;21926
Abra Pampa;-22.7167;-65.7000;Argentina;4480
Adrogue;-34.8000;-58.3833;Argentina;28265
Aldo Bonzi;-34.7083;-58.5181;Argentina;18175
Allen;-38.9772;-67.8272;Argentina;22859
Alta Gracia;-31.6667;-64.4333;Argentina;48140
Alto Rio Senguer;-45.0419;-70.8234;Argentina;1570
Anatuya;-28.4667;-62.8333;Argentina;14133
Aristobulo del Valle;-27.0952;-54.8970;Argentina;38000
Armstrong;-32.7819;-61.6019;Argentina;11181
Avellaneda;-34.6625;-58.3678;Argentina;24313
Avellaneda;-29.1175;-59.6583;Argentina;23341
Ayacucho;-37.1525;-58.4882;Argentina;17364
Azul;-36.7833;-59.8500;Argentina;55728
Bahia Blanca;-38.7167;-62.2667;Argentina;299101
Balcarce;-37.8464;-58.2556;Argentina;38823
Banfield;-34.7500;-58.3833;Argentina;223898
Baradero;-33.8000;-59.5167;Argentina;28537
Belen;-27.6496;-67.0333;Argentina;11359
Bell Ville;-32.6333;-62.6833;Argentina;33835
Bella Vista;-34.5333;-58.6667;Argentina;72000
Benito Juarez;-37.6833;-59.8000;Argentina;10609
Berazategui;-34.7679;-58.2133;Argentina;180523
Bernal;-34.7000;-58.2833;Argentina;109914
Bialet Masse;-31.3214;-64.4694;Argentina;5425
Bragado;-35.1167;-60.5000;Argentina;33222
Brandsen;-35.1667;-58.2167;Argentina;19877
Buenos Aires;-34.5997;-58.3819;Argentina;16216000
Burzaco;-34.8167;-58.3667;Argentina;98859
Cafayate;-26.0700;-65.9800;Argentina;11785
Caleta Olivia;-46.4333;-67.5333;Argentina;51733
Campana;-34.1667;-58.9167;Argentina;86860
Canada de Gomez;-32.8167;-61.4000;Argentina;29205
Capilla del Monte;-30.8500;-64.5167;Argentina;11181
Capitan Bermudez;-32.8167;-60.7167;Argentina;29218
Carcarana;-32.8500;-61.1500;Argentina;16277
Carhue;-37.1667;-62.7333;Argentina;7190
Carmen de Areco;-34.3833;-59.8167;Argentina;14692
Caseros;-34.6167;-58.5333;Argentina;95785
Casilda;-33.0442;-61.1681;Argentina;35058
Castelar;-34.6500;-58.6500;Argentina;107786
Castelli;-25.9500;-60.6167;Argentina;9421
Catamarca;-28.4686;-65.7792;Argentina;159139
Catriel;-37.8778;-67.7917;Argentina;17584
Centenario;-38.8167;-68.1333;Argentina;34421
Ceres;-29.8833;-61.9500;Argentina;14499
Cerrillos;-24.9000;-65.4833;Argentina;11498
Chacabuco;-34.6500;-60.4900;Argentina;34587
Chajari;-30.7667;-57.9833;Argentina;45848
Chamical;-30.3592;-66.3133;Argentina;8989
Charata;-27.2144;-61.1881;Argentina;18297
Chascomus;-35.5750;-58.0089;Argentina;21054
Chepes;-31.3500;-66.6000;Argentina;6020
Chilecito;-29.1667;-67.5000;Argentina;33724
Chivilcoy;-34.9000;-60.0167;Argentina;54514
Choele Choel;-39.2858;-65.6542;Argentina;10146
Chos Malal;-37.3833;-70.2667;Argentina;13092
Chumbicha;-28.8666;-66.2333;Argentina;2572
Cinco Saltos;-38.8167;-68.0667;Argentina;22790
Ciudad General Belgrano;-34.7261;-58.5289;Argentina;92957
Colon;-32.2241;-58.1419;Argentina;24835
Comallo;-41.0333;-70.2667;Argentina;741
Comandante Fontana;-25.3333;-59.6833;Argentina;4277
Comandante Luis Piedra Buena;-49.9830;-68.9100;Argentina;6405
